rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-03,APC,107,312814766.18,252
2017-03,CTSH,108,312165583.45,252
2017-03,CSX,109,310268850.56,252
2017-03,SPG,110,307907715.16,252
2017-03,LUV,111,305222865.26,252
2017-03,ACN,112,301236011.88,252
2017-03,DE,113,298901568.63,252
2017-03,SCHW,114,298470596.91,252
2017-03,JD,115,297623292.81,252
2017-03,WYNN,116,297410558.52,252
2017-03,NEM,117,296069346.31,252
2017-03,KHC,118,295797947.32,252
2017-03,WDC,119,294104752.51,252
2017-03,FDX,120,291981316.62,252
2017-03,SO,121,289747966.16,252
2017-03,ALXN,122,289691835.47,252
2017-03,DVN,123,289525183.71,252
2017-03,FOXA,124,289241609.09,252
2017-03,LYB,125,288808937.97,252
2017-03,TJX,126,281971977.35,252
2017-03,NEE,127,280870906.66,252
2017-03,EXE,128,280441032.89,252
2017-03,UAL,129,279862610.23,252
2017-03,PNC,130,279103756.06,252
2017-03,ADBE,131,278926395.62,252
2017-03,DUK,132,278890636.82,252
2017-03,HUM,133,278415232.43,252
2017-03,DHR,134,273689057.14,252
2017-03,DG,135,271165276.43,252
2017-03,WMB,136,270454146.31,252
2017-03,MAR,137,269178518.56,252
2017-03,CL,138,266301635.37,252
2017-03,RTN,139,264813672.59,252
2017-03,COF,140,264711001.38,252
2017-03,STZ,141,264658605.8,252
2017-03,EA,142,263969500.18,252
2017-03,MPC,143,263552350.91,252
2017-03,TMO,144,263500974.82,252
2017-03,JCI,145,263193783.01,252
2017-03,BAX,146,262334271.14,252
2017-03,EXPE,147,262218184.71,252
2017-03,YUM,148,261024451.99,252
2017-03,M,149,260142152.53,252
2017-03,NTES,150,258236504.18,252
2017-04,AAPL,1,4019970627.55,253
2017-04,AMZN,2,2839585728.74,253
2017-04,META,3,2724215566.69,253
2017-04,BAC,4,1879172739.35,253
2017-04,MSFT,5,1732803834.42,253
2017-04,GOOGL,6,1446539734.52,253
2017-04,BABA,7,1321204661.77,253
2017-04,GOOG,8,1314946265.23,253
2017-04,JPM,9,1260287052.32,253
2017-04,WFC,10,1204186459.56,253
2017-04,XOM,11,1114539492.82,253
2017-04,PG,12,1111198985.0,253
2017-04,C,13,1091224537.44,253
2017-04,GE,14,1088672776.05,253
2017-04,NVDA,15,1077609954.5,253
2017-04,TSLA,16,1075224230.47,253
2017-04,AGN,17,1024598638.85,253
2017-04,PFE,18,992594438.66,253
2017-04,T,19,950468371.43,253
2017-04,JNJ,20,927767592.3,253
2017-04,GILD,21,864454689.27,253
2017-04,INTC,22,850411666.75,253
2017-04,V,23,818196181.83,253
2017-04,DIS,24,814254257.85,253
2017-04,VZ,25,799991406.34,253
2017-04,CVX,26,799498583.1,253
2017-04,BKNG,27,750179731.96,253
2017-04,CSCO,28,738485624.12,253
2017-04,GS,29,720798124.15,253
